ID,LONG,LAT,Elevation,AAP(mm),RiverDIST(m),FaultDIST(m),Slop(Percent),Slop(Degrees),Landslide Risk
48,56.528,27.728,507.0,141,174.7716393,1134.356019,20.5559845,11.6159058,0.224923298575
49,57.03,27.431,360.0,136,27.07571398,355.2432358,2.166791,1.2412856,0.28335675731500004
50,57.508,27.837,730.0,116,1075.850963,2690.32713,60.3364716,31.1053009,0.2
51,57.02,27.433,413.0,136,255.2501857,1262.545766,25.2989044,14.1973152,0.21530906755000004
52,61.792,27.575,1424.0,111,1679.219679,2832.594176,43.9029732,23.7029037,0.29
53,51.05,29.626,271.0,152,1482.304085,33197.8753,4.1024027,2.3491864,0.0
54,51.05,29.617,282.0,152,831.688123,32841.79726,8.8424845,5.0532274,0.16000000000000003
55,51.05,29.626,271.0,152,1482.304085,33197.8753,4.1024027,2.3491864,0.0
56,51.05,29.626,271.0,152,1482.304085,33197.8753,4.1024027,2.3491864,0.0
57,51.05,29.626,271.0,152,1482.304085,33197.8753,4.1024027,2.3491864,0.0
58,51.05,29.626,271.0,152,1482.304085,33197.8753,4.1024027,2.3491864,0.0
59,51.05,29.626,271.0,152,1482.304085,33197.8753,4.1024027,2.3491864,0.0
60,51.05,29.626,271.0,152,1482.304085,33197.8753,4.1024027,2.3491864,0.0
61,51.05,29.626,271.0,152,1482.304085,33197.8753,4.1024027,2.3491864,0.0
62,51.05,29.626,271.0,152,1482.304085,33197.8753,4.1024027,2.3491864,0.0
63,51.579,29.248,1305.0,156,803.8186359,962.9288587,60.274189,31.0791321,0.5877803355975
64,51.578,29.248,1277.0,156,734.31205,1044.703859,44.4177933,23.9497356,0.521647210575
65,51.464,29.304,561.0,152,587.7274627,6233.024961,9.8105631,5.6031089,0.16000000000000003
66,51.357,29.453,196.0,152,24.14369666,323.961921,6.5446692,3.7444792,0.285702855925
67,51.356,29.454,190.0,152,37.62032399,176.732998,0.2687573,0.1539862,0.29674502515
68,51.359,29.457,384.0,152,479.1399705,104.5939349,1.7208867,0.9858981,0.30215545488250006
69,51.254,29.462,95.0,152,819.0385776,6793.637599,1.155969,0.662292,0.16000000000000003
70,51.351,29.47,215.0,152,99.32717415,1501.368688,15.224576,8.6565647,0.1973973484
71,51.346,29.47,146.0,152,92.18305852,1809.307253,25.2030773,14.1457014,0.17430195602500004
72,51.342,29.47,130.0,152,28.9947132,2055.669646,2.4705219,1.4152169,0.16000000000000003
73,51.289,29.457,111.0,152,966.2356352,4208.193198,2.660562,1.5240302,0.16000000000000003
74,51.304,29.464,159.0,152,292.8861829,3882.994272,20.6855888,11.6871347,0.16000000000000003
75,51.504,29.464,354.0,156,505.7311427,10169.43273,3.3995414,1.9470439,0.16000000000000003
76,51.312,29.464,167.0,152,398.3082968,3390.055993,27.3895245,15.3173876,0.16000000000000003
77,51.299,29.744,657.0,152,1377.120622,8301.69169,12.0701675,6.8824024,0.0
78,51.301,29.744,692.0,152,1327.90227,8108.62404,22.7992744,12.8434877,0.0
79,52.352,29.578,1877.0,168,907.9206799,2581.374454,11.1881847,6.3838096,0.4
80,52.319,29.694,2083.0,168,749.9104853,5713.498486,17.6747551,10.0233688,0.4
81,52.144,29.331,1282.0,168,9.406052538,2100.335648,9.6341171,5.5029588,0.31000000000000005
82,52.146,29.333,1329.0,168,108.0469567,2393.612679,16.5585938,9.4020643,0.31000000000000005
83,52.172,29.419,1389.0,168,144.1547278,3124.411578,19.7367458,11.1648273,0.31000000000000005
84,51.466,29.309,616.0,152,281.0918692,6274.310435,9.976655,5.6973495,0.16000000000000003
85,51.338,29.471,133.0,152,65.55704504,2387.667748,6.9773464,3.9912565,0.16000000000000003
86,52.081,29.636,2230.0,168,157.7287051,6866.023532,25.3331413,14.2157507,0.4
87,52.137,29.665,1942.0,168,34.40532391,563.7811664,1.3835131,0.7926441,0.50771641252
88,52.058,29.688,2004.0,168,349.7493575,6000.540374,3.3189085,1.9008967,0.4
89,52.003,29.853,2185.0,168,515.7074754,4826.313243,13.1800747,7.5083494,0.4
90,52.003,29.853,2185.0,168,515.7074754,4826.313243,13.1800747,7.5083494,0.4
91,52.139,29.665,1941.0,168,43.1665776,395.3947105,0.7835556,0.4489351,0.5203453967125
92,51.437,29.57,627.0,152,1848.004041,1291.648469,15.2127104,8.6499205,0.053126364824999994
93,51.482,29.569,855.0,152,1632.909983,2598.604483,63.2128487,32.2981453,0.2
94,54.46,28.883,2325.0,138,1204.043208,4655.296047,66.2815247,33.5370255,0.44
95,54.455,28.878,1917.0,138,468.142402,4467.832821,39.3731804,21.4911385,0.54
96,54.202,29.062,2043.0,145,1655.513079,1461.543038,77.5487213,37.7931213,0.48038427215
97,54.169,29.095,2104.0,145,1208.810153,4281.597979,29.4138927,16.3906631,0.24
98,54.21,29.049,1878.0,145,624.0466214,238.814445,29.8072376,16.5978661,0.532088916625
99,53.054,28.7,1107.0,140,55.78309347,14103.41377,33.5166397,18.5294209,0.31000000000000005
100,54.204,29.047,1761.0,145,12.92671586,111.4791713,5.4052978,3.0939965,0.5416390621525
101,53.132,28.627,1020.0,140,688.1756739,3015.302408,2.4188161,1.3856094,0.31000000000000005
102,54.572,28.849,2224.0,163,2185.663604,651.8994331,46.4888077,24.9331551,0.4811075425175
103,54.207,29.048,1820.0,145,311.8306834,63.66467812,24.244833,13.6282978,0.5452251491410001
104,54.205,29.063,2129.0,145,1758.502432,1636.673073,17.997715,10.2027054,0.267249519525
105,54.135,29.103,1815.0,145,1532.133824,4627.174937,8.5855246,4.9071102,0.24
106,54.119,29.092,1882.0,145,424.4370642,2855.183269,24.3992596,13.7118368,0.4
107,54.128,29.145,1930.0,145,134.5628942,5189.97697,10.9252424,6.2349744,0.4
108,54.42,29.234,1926.0,145,379.435552,137.2906961,25.4908943,14.3006535,0.5397031977925
109,54.487,29.094,1916.0,145,1373.141659,1704.634819,3.6554952,2.0935123,0.262152388575
110,54.228,29.183,1758.0,145,738.6990632,1591.209593,16.8665314,9.5737047,0.430659280525
111,54.207,29.184,1810.0,145,1518.009114,1752.487017,23.119381,13.0177116,0.258563473725
112,56.233,29.383,2143.0,122,142.0647319,169.2993625,2.0555985,1.1776053,0.5373025478125
113,56.284,29.565,2726.0,123,952.6874703,3852.675649,9.9203863,5.6654263,0.4
114,56.297,29.553,2684.0,123,69.56875467,2614.464464,21.5073051,12.1378813,0.4
115,55.861,28.25,823.0,140,226.1923084,2763.517583,1.0750294,0.6159227,0.16000000000000003
116,55.601,28.953,2005.0,137,2375.886579,6388.186079,6.3172269,3.6147013,0.24
117,55.207,28.395,1379.0,160,486.0441526,1884.332435,100.0,45.0,0.518675067375
118,55.207,28.395,1379.0,160,486.0441526,1884.332435,100.0,45.0,0.518675067375
119,55.207,28.395,1379.0,160,486.0441526,1884.332435,100.0,45.0,0.518675067375
120,56.265,29.357,2158.0,122,1332.981607,467.57949,4.6003847,2.6339693,0.35493153825
121,56.492,29.496,2841.0,122,125.8069187,1655.955871,5.1346021,2.9393289,0.425803309675
122,56.986,29.204,2030.0,131,2038.983315,4027.997482,27.2897911,15.2642183,0.24
123,56.998,29.19,1973.0,131,323.173729,2202.728657,20.0264797,11.3245201,0.4
124,56.986,29.202,2063.0,131,1977.432584,3893.745273,24.1463184,13.574975,0.24
125,57.005,29.175,1944.0,138,336.1416703,1480.798618,15.6122341,8.8735189,0.43894010365
126,57.056,29.236,2101.0,138,294.4195795,1360.632813,12.7482805,7.265039,0.44795253902500004
127,57.001,29.239,2133.0,138,3411.741726,4612.568984,18.7138882,10.5996666,0.24
128,56.967,29.195,2007.0,131,316.2661647,5222.245196,7.3356481,4.1955018,0.4
129,57.088,29.27,2275.0,138,143.5431398,2821.058649,2.9563308,1.6933596,0.4
130,57.054,29.071,1897.0,138,446.7355136,342.6233614,11.6483908,6.6440945,0.524303247895
131,56.725,29.285,2510.0,131,751.9222083,4730.150973,7.8355556,4.4802885,0.4
132,57.022,29.191,2090.0,138,237.9106036,1125.279013,6.7671371,3.8713815,0.46560407402500004
133,57.15,29.267,2444.0,138,291.1715955,887.7671704,33.6333466,18.5895157,0.48341746222000004
134,57.269,29.353,3318.0,138,928.3593825,2799.417573,52.2486,27.5864372,0.6000000000000001
135,57.278,29.361,3318.0,138,824.5639573,3943.182501,26.6828804,14.9400902,0.4
136,57.283,29.367,3224.0,138,1179.094735,4301.467478,38.9957542,21.3036728,0.38
137,57.304,29.387,3527.0,138,708.3943227,6186.080436,36.186058,19.8931942,0.4
138,57.306,29.389,3510.0,138,645.1236081,6421.16005,32.5862045,18.0488243,0.4
139,57.314,29.397,3440.0,138,937.2899361,7404.264927,22.9626369,12.9324312,0.4
140,56.739,29.297,2554.0,131,53.32165899,3186.37319,3.0701923,1.7585384,0.4
141,56.739,29.293,2545.0,131,96.89407643,3252.594564,15.5612593,8.845005,0.4
142,57.883,28.867,1846.0,94,561.957551,968.5608108,15.1580095,8.6192856,0.47735793919
143,57.95,28.883,3138.0,94,1839.561917,193.0975619,32.268795,17.884264,0.3755176828575
144,57.8,28.817,1240.0,94,131.4761057,293.2279576,30.5042553,16.9639359,0.43800790318000005
145,57.067,29.333,2527.0,138,1224.667541,264.3581896,28.0049801,15.6448927,0.37017313578
146,57.153,29.11,2416.0,138,361.5023495,539.7936054,13.1800747,7.5083494,0.509515479595
147,57.151,29.268,2475.0,138,270.1275646,740.9009296,18.4524975,10.4548988,0.49443243028
148,57.15,29.283,2591.0,138,1319.848938,185.8409626,14.2022429,8.0832281,0.37606192780500003
149,57.068,29.333,2488.0,138,1134.853769,260.6772019,24.3851948,13.7042303,0.37044920985749996
150,56.951,29.3,2284.0,131,590.8516293,2846.854972,4.3001175,2.4622691,0.4
151,57.122,29.285,2418.0,138,75.11592811,2473.355965,5.9491973,3.4046261,0.4
152,56.37,28.859,2345.0,133,61.80330872,3822.068339,6.2337804,3.5670772,0.4
153,56.917,29.183,2133.0,131,2055.19181,9863.776127,2.8569298,1.6364551,0.24
154,56.917,29.181,2123.0,131,2242.619332,9862.262739,4.5767727,2.6204689,0.24
155,56.983,29.172,1985.0,131,1625.291028,3595.349549,4.1981239,2.4039364,0.24
156,56.983,29.168,1967.0,131,1797.616731,3747.385533,11.9014301,6.7870922,0.24
157,56.983,29.167,1967.0,131,1748.352474,3792.547183,10.5125008,6.0011773,0.24
158,57.0,29.153,1900.0,131,293.8838795,3261.838433,18.2922897,10.3661041,0.4
159,57.0,29.15,1896.0,131,184.7783071,3269.594354,8.1029339,4.6325183,0.4
160,56.744,29.26,2428.0,131,775.851024,4094.80062,4.9883275,2.8557341,0.4
161,57.417,29.167,2638.0,138,1270.877107,5361.727293,2.1500587,1.2317032,0.24
162,57.431,29.165,2650.0,138,2108.045784,6433.145342,8.1739359,4.6729317,0.24
163,56.611,29.543,2778.0,110,1110.952757,8667.774648,23.0513287,12.9806929,0.24
164,56.722,29.281,2473.0,131,586.459514,5084.671352,9.9875088,5.7035069,0.4
165,56.725,29.272,2422.0,131,1151.868639,5011.119686,10.0739202,5.7525239,0.24
166,56.397,29.458,2618.0,122,860.1967237,92.04776956,6.2511363,3.576983,0.543096417283
167,57.888,28.906,1988.0,94,850.8895675,965.367413,9.6153555,5.4923077,0.47759744402500004
168,56.814,29.45,3583.0,131,662.7146022,6118.524689,36.0660934,19.8323936,0.4
169,56.931,29.332,2387.0,131,283.4509694,704.271832,2.7209609,1.5586112,0.49717961260000004
170,57.91,29.101,1999.0,112,1322.423333,1067.799959,18.2002506,10.3150692,0.309915003075
171,57.907,29.104,1995.0,112,1707.919233,1222.372894,16.4766006,9.3563337,0.29832203295
172,57.901,29.101,2080.0,112,2180.725021,1598.027819,32.7316208,18.1241112,0.270147913575
173,57.938,29.017,2385.0,112,1164.292277,869.2175364,15.0899534,8.5811644,0.32480868477
174,57.08,29.285,2260.0,138,293.1023342,1847.386747,27.0505295,15.1365566,0.41144599397500004
175,56.983,29.201,2041.0,131,1760.787205,4073.068693,17.5208359,9.9378281,0.24
176,61.0,28.642,2656.0,81,2055.161184,5923.316858,13.3894033,7.6262059,0.24
177,51.129,31.3,2073.0,158,534.9480351,9240.526519,26.6178341,14.9052925,0.4
178,51.088,31.346,2223.0,158,210.7674575,11001.77504,11.1784964,6.3783269,0.4
179,51.156,30.464,1761.0,152,1529.838626,23777.18133,23.0881176,13.0007067,0.24
180,51.156,30.458,1592.0,152,1987.34432,23993.3351,35.0792694,19.3304977,0.24
181,51.161,30.454,1444.0,152,2293.871383,24596.32523,25.3787212,14.2402878,0.15
182,51.165,30.458,1467.0,152,1826.527328,24808.72584,24.6503391,13.8475323,0.15
183,51.167,30.982,1867.0,176,293.3738894,11372.8788,6.8123493,3.8971674,0.4
184,51.167,30.982,1867.0,176,293.3738894,11372.8788,6.8123493,3.8971674,0.4
185,51.166,30.977,1966.0,176,779.2597535,10960.90485,8.6546545,4.9464259,0.4
186,51.167,30.976,1932.0,176,834.8025304,10815.54675,23.5657444,13.2602434,0.4
187,51.167,30.975,1967.0,176,935.2640002,10723.85392,31.2984047,17.3792877,0.4
188,51.135,30.986,2402.0,176,1387.72073,13580.84605,31.0905895,17.2707787,0.24
189,51.134,30.986,2434.0,176,1464.862844,13645.12851,30.2426662,16.8267155,0.24
190,51.143,30.994,2119.0,176,303.8657527,13774.78787,36.690052,20.1481152,0.54
191,51.142,30.993,2144.0,176,431.3644229,13745.23615,26.2455006,14.7058916,0.4
192,51.142,30.993,2144.0,176,431.3644229,13745.23615,26.2455006,14.7058916,0.4
193,51.143,30.993,2097.0,176,341.6094283,13686.7673,28.987196,16.1653919,0.4
194,51.143,30.993,2097.0,176,341.6094283,13686.7673,28.987196,16.1653919,0.4
195,51.144,30.993,2074.0,176,251.8541404,13628.71765,29.4046822,16.3858051,0.4
196,51.14,30.992,2234.0,176,648.783332,13776.85001,33.3313293,18.4339161,0.4
197,51.139,30.993,2239.0,176,701.5727655,13923.10493,40.1700096,21.8853321,0.54
198,51.147,30.985,2098.0,176,561.3396457,12753.10254,32.2760658,17.8880386,0.4
199,51.145,30.998,2204.0,176,52.07388174,14018.07658,49.3493652,26.2660484,0.6000000000000001
200,51.142,30.994,2161.0,176,395.7578175,13832.88408,33.4735107,18.5072021,0.4
201,51.147,30.997,2015.0,176,102.9302511,13817.05668,39.0142746,21.3128815,0.54
202,51.137,30.993,2344.0,176,875.9456884,14043.68388,28.8460655,16.0907688,0.4
203,51.137,30.99,2344.0,176,995.7389999,13788.44905,49.1205063,26.1605053,0.6000000000000001
204,51.135,30.986,2402.0,176,1387.72073,13580.84605,31.0905895,17.2707787,0.24
205,51.137,30.986,2370.0,176,1241.127798,13453.39617,32.9931793,18.259367,0.24
206,51.137,30.986,2370.0,176,1241.127798,13453.39617,32.9931793,18.259367,0.24
207,51.138,30.986,2330.0,176,1172.638874,13390.23935,35.9256287,19.7611446,0.24
208,51.14,30.983,2219.0,176,1202.057519,13014.41397,31.2111645,17.3337517,0.24
209,51.157,30.996,2106.0,176,919.3627021,13195.31534,19.5888901,11.0832653,0.4
210,51.162,30.996,2105.0,176,1081.357891,12947.94766,28.9722404,16.1574879,0.24
211,51.159,30.998,2157.0,176,1206.809179,13284.64139,26.0465946,14.5992193,0.24
212,51.161,30.997,2113.0,176,1194.764774,13091.88398,21.0335884,11.8782101,0.24
213,51.161,30.996,2093.0,176,1083.935778,12996.39268,26.3772697,14.7765026,0.24
214,51.157,30.995,2094.0,176,852.605435,13101.51832,14.8231306,8.431632,0.4
215,51.163,30.997,2145.0,176,1189.609971,12996.22895,34.5486488,19.0593395,0.24
216,51.163,30.997,2145.0,176,1189.609971,12996.22895,34.5486488,19.0593395,0.24
217,51.164,30.996,2166.0,176,1077.911973,12852.64133,22.0593967,12.4398746,0.24
218,51.167,30.991,1966.0,176,592.9663333,12229.11654,34.5940933,19.0825977,0.4
219,51.139,30.984,2262.0,176,1222.626854,13160.74171,31.0208149,17.2343159,0.24
220,51.139,30.992,2266.0,176,738.5383824,13836.91878,34.1364136,18.8480644,0.4
221,49.82,31.364,469.0,162,351.8850259,2982.49366,2.5496562,1.4605289,0.16000000000000003
222,49.819,31.362,462.0,162,358.0735312,2981.06732,2.166791,1.2412856,0.16000000000000003
223,49.816,31.36,446.0,162,192.5276441,2835.588558,5.0494919,2.8906908,0.16000000000000003
224,49.814,31.36,449.0,162,80.75898378,2675.60267,2.2243629,1.2742559,0.16000000000000003
225,49.81,31.359,442.0,162,24.85810913,2440.400517,4.8114319,2.7546232,0.16000000000000003
226,49.978,31.561,1044.0,186,490.4563319,897.3380894,37.6615257,20.6371403,0.532699643295
227,50.055,31.36,836.0,180,1193.825811,11534.16869,17.6174488,9.9915266,0.0
228,50.04,31.365,793.0,180,405.84669,10195.76404,2.4778204,1.419396,0.16000000000000003
229,49.985,31.399,877.0,162,646.853964,6363.512213,24.941637,14.0047674,0.16000000000000003
230,49.98,31.404,844.0,162,363.8527797,6194.780834,8.2508945,4.7167301,0.16000000000000003
231,49.971,31.407,780.0,162,342.6089721,5569.098699,25.6187935,14.369441,0.16000000000000003
232,49.982,31.41,676.0,162,42.6260367,6648.204921,5.0602093,2.8968155,0.16000000000000003
233,49.981,31.364,943.0,162,1438.823529,4581.475064,16.4206123,9.325099,0.0
234,49.978,31.416,723.0,162,765.6078538,6659.248391,2.9502163,1.6898593,0.16000000000000003
235,50.117,31.384,1084.0,180,180.0323178,10672.57519,37.3219681,20.4665642,0.45
236,50.109,31.388,1303.0,180,472.7283551,10944.96283,35.4076958,19.4978828,0.31000000000000005
237,50.117,31.388,1136.0,180,247.7857254,10878.52524,37.8466263,20.7299633,0.45
238,50.114,31.395,1194.0,180,184.6870694,10221.30873,45.0399132,24.2467613,0.45
239,50.107,31.399,1291.0,180,313.3486704,9714.84161,74.7099533,36.7633896,0.51
240,50.116,31.405,1386.0,180,48.23304387,9152.060478,40.6463852,22.1199646,0.45
241,50.111,31.403,1334.0,180,107.3418603,9306.573857,55.616539,29.0812969,0.51
242,50.136,31.428,1778.0,180,778.0483781,7316.885449,28.1682835,15.731617,0.4
243,50.154,31.409,1587.0,180,1215.158586,9163.096015,33.6027298,18.5737534,0.24
244,50.151,31.409,1642.0,180,994.4563088,9415.486276,31.8820305,17.6833382,0.4
245,50.15,31.407,1734.0,180,1075.762812,9401.041171,74.4232254,36.6578102,0.44
246,50.152,31.405,1836.0,180,1366.041709,9133.808792,74.2045288,36.5770912,0.44
247,51.165,30.993,2121.0,176,755.6087868,12516.47099,55.7750816,29.150629,0.6000000000000001
248,49.874,31.536,702.0,186,352.3820218,10811.51801,1.1402409,0.6532816,0.16000000000000003
249,49.888,31.51,683.0,186,245.001358,10566.26722,22.3133354,12.5785456,0.16000000000000003
250,49.798,31.358,441.0,162,82.10339681,1849.912825,25.7628841,14.446888,0.17125653812500002
251,49.789,31.363,422.0,162,78.30903065,1168.667363,10.8921356,6.2162285,0.22234994777500003
252,49.768,31.376,388.0,162,214.6332161,1142.4312,10.5621977,6.0293388,0.22431766000000003
253,49.54,31.487,366.0,162,197.7186314,6411.867147,10.3967762,5.9355888,0.16000000000000003
254,49.539,31.486,355.0,162,63.35232537,6557.523032,4.5051942,2.5795419,0.16000000000000003
255,49.538,31.484,373.0,162,31.55326547,6782.710586,12.2114658,6.9621844,0.16000000000000003
256,49.537,31.483,385.0,162,50.66696921,6928.501823,22.1011047,12.4626617,0.16000000000000003
257,49.536,31.465,369.0,162,1308.418225,8130.973559,9.0762825,5.1861167,0.0
258,49.533,31.466,352.0,162,1009.134855,8017.567578,7.6111016,4.3524485,0.0
259,49.536,31.463,369.0,162,1437.45274,7972.987621,4.7623925,2.7265897,0.0
260,49.532,31.478,325.0,162,36.0885842,7657.60131,12.2291975,6.9721947,0.16000000000000003
261,49.528,31.475,318.0,162,9.923769286,8160.647785,5.9187665,3.3872519,0.16000000000000003
262,49.526,31.477,367.0,162,267.6001122,8136.664189,17.4878235,9.9194765,0.16000000000000003
263,51.158,30.992,2030.0,176,648.3594382,12769.79302,35.590313,19.5908031,0.4
264,51.153,30.99,1961.0,176,224.3939171,12852.56388,33.2434464,18.388586,0.4
265,51.153,30.989,1913.0,176,127.8159841,12762.02951,22.0397415,12.4291353,0.4
266,51.154,30.989,1913.0,176,174.724883,12706.93977,19.3999252,10.97896,0.4
267,51.153,30.989,1913.0,176,127.8159841,12762.02951,22.0397415,12.4291353,0.4
268,51.154,30.989,1913.0,176,174.724883,12706.93977,19.3999252,10.97896,0.4
269,51.156,30.989,1918.0,176,284.772312,12598.21229,24.21875,13.6141834,0.4
270,51.158,30.989,1931.0,176,315.8730107,12491.46285,25.582819,14.3500977,0.4
271,51.159,30.989,1930.0,176,313.2922123,12438.84584,22.6944847,12.7864017,0.4
272,51.138,30.982,2243.0,176,1421.925477,13060.02792,34.1332397,18.8464355,0.24
273,51.143,30.98,2161.0,176,1229.478783,12575.42883,32.5740128,18.0425072,0.24
274,51.145,30.98,2141.0,176,1117.734199,12449.41515,31.6141357,17.5438995,0.24
275,51.149,30.98,2120.0,176,904.8553027,12202.46625,46.874855,25.1147671,0.6000000000000001
276,51.148,30.983,2016.0,176,686.1992692,12520.44227,14.9589481,8.507761,0.4
277,51.146,30.983,2097.0,176,790.6098952,12641.4104,27.4244461,15.3359976,0.4
278,51.15,30.986,2026.0,176,302.6443469,12664.07742,21.6428947,12.2121124,0.4
279,51.155,30.986,1935.0,176,45.5991379,12380.30368,9.6491003,5.5114646,0.4
280,51.155,30.986,1935.0,176,45.5991379,12380.30368,9.6491003,5.5114646,0.4
281,51.166,30.994,2160.0,176,884.1950544,12565.65558,43.3374863,23.4306965,0.54
282,50.143,31.33,1204.0,180,1019.296983,7150.999572,23.1271896,13.0219584,0.15
283,50.146,31.326,1022.0,180,673.6556727,6910.380623,11.8146296,6.7380486,0.31000000000000005
284,50.143,31.328,1128.0,180,804.8729293,7172.767496,36.3220367,19.9620514,0.31000000000000005
285,49.737,31.462,462.0,162,227.1899453,2545.905785,38.6151085,21.1141224,0.30000000000000004
286,49.739,31.469,454.0,162,134.1234954,3299.355118,4.206718,2.4088516,0.16000000000000003
287,49.739,31.471,454.0,162,151.3951227,3484.875764,5.1346021,2.9393289,0.16000000000000003
288,49.739,31.475,454.0,162,148.773845,3794.416522,18.9097099,10.7080288,0.16000000000000003
289,50.258,30.669,318.0,158,246.1138763,6221.064987,2.4188161,1.3856094,0.16000000000000003
290,49.898,31.498,715.0,162,56.21175068,10503.58948,10.6235666,6.0641108,0.16000000000000003
291,49.864,31.526,677.0,186,140.2690271,12002.02467,5.0172038,2.8722377,0.16000000000000003
292,49.878,31.523,686.0,186,329.5349076,10838.89495,8.8343115,5.0485811,0.16000000000000003
293,50.554,30.744,716.0,170,342.9983125,14600.36678,4.5172024,2.5864081,0.16000000000000003
294,50.329,31.533,1333.0,174,424.1791142,15927.35887,19.2091007,10.8735542,0.31000000000000005
295,50.33,31.533,1316.0,174,329.4787032,15918.98115,20.5805664,11.6294184,0.31000000000000005
296,50.33,31.535,1314.0,174,321.3213482,15698.04264,22.9594917,12.9307194,0.31000000000000005
297,50.33,31.535,1314.0,174,321.3213482,15698.04264,22.9594917,12.9307194,0.31000000000000005
